"Reference","Qty","DNP","Arrow Price/Stock","Manufacturer_Name","Manufacturer_Part_Number"
"C1,C3","2","","","Panasonic","ECW-H16362RJV"
"C2","1","","","Wurth Elektronik","870575873001"
"D1,D2,D3,D4,D5","5","","","Cree LED","C4SMA-RGY-CS4V1BB1"
"IC1","1","","","Texas Instruments","CD4043BE"
"IC2","1","","https://www.arrow.com/en/products/com-16473/sparkfun-electronics?region=nac","SparkFun","COM-16473"
"IC3","1","","","Texas Instruments","CD74HCT173E"
"IC4","1","","https://www.arrow.com/en/products/cd4072be/texas-instruments?region=nac","Texas Instruments","CD4072BE"
"IC5","1","","https://www.arrow.com/en/products/sn74ls04n/texas-instruments?region=nac","Texas Instruments","SN74LS04N"
"IC6","1","","https://www.arrow.com/en/products/sn74ls21ne4/texas-instruments","Texas Instruments","SN74LS21NE4"
"J1,J2,J3,J4","4","","","Kobiconn","154-UL6661"
"J5","1","","","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4130-GF-C"
"LS1","1","","","Same Sky","CMT-1209-590T"
"Q1","1","","https://www.arrow.com/en/products/bs170/on-semiconductor?region=nac","onsemi","BS170"
"R1","1","","","TE Connetivity"," LR0204F100K"
"R2,R3,R4,R5,R6","5","","","Yageo","MFR-25FTE52-300R"
"R7","1","","","Yageo","MFR-25FRF52-0R"
"S1","1","","https://www.arrow.com/en/products/os102011ms2qs1/ck?region=nac","C & K COMPONENTS","OS102011MS2QS1"
"SW1","1","","","","PV5S64019"
